FORMAT OF THE SUBSETTED FILE
    
    ITEMS                      FORMAT   
     
 1 YEAR                          I4        
 2 DOY                           I4        
 3 Hour                          I3        
 4 Dst-index, nT                 I6        
 5 f10.7_index                   F6.1

2018  29 22     4  66.2
2018  29 23     4  66.2
2018  30  0     3  66.9
2018  30  1     4  66.9
2018  30  2     3  66.9
2018  30  3    -1  66.9
2018  30  4    -2  66.9
2018  30  5    -1  66.9
2018  30  6     1  66.9
2018  30  7    -3  66.9
2018  30  8    -6  66.9
2018  30  9    -7  66.9
2018  30 10    -4  66.9
2018  30 11     1  66.9
2018  30 12     4  66.9
2018  30 13     3  66.9
2018  30 14    -2  66.9
2018  30 15    -2  66.9
2018  30 16     3  66.9
2018  30 17     4  66.9
2018  30 18     6  66.9
2018  30 19     7  66.9
2018  30 20     8  66.9
2018  30 21     7  66.9
2018  30 22    12  66.9
2018  30 23    13  66.9
2018  31  0    11  67.2
2018  31  1    11  67.2
2018  31  2    10  67.2
2018  31  3    10  67.2
2018  31  4     9  67.2
2018  31  5     7  67.2
2018  31  6     3  67.2
2018  31  7     0  67.2
2018  31  8     0  67.2
2018  31  9     0  67.2
2018  31 10    -3  67.2
2018  31 11    -3  67.2
2018  31 12    -6  67.2
2018  31 13    -3  67.2
2018  31 14    -7  67.2
2018  31 15   -12  67.2
2018  31 16    -9  67.2
2018  31 17    -9  67.2
2018  31 18   -11  67.2
2018  31 19   -10  67.2
2018  31 20    -9  67.2
2018  31 21    -8  67.2
2018  31 22    -6  67.2
2018  31 23    -7  67.2
2018  32  0    -7  67.0
2018  32  1    -7  67.0
2018  32  2    -6  67.0
2018  32  3    -6  67.0
2018  32  4    -5  67.0
2018  32  5    -5  67.0
2018  32  6    -7  67.0
2018  32  7   -10  67.0
2018  32  8   -14  67.0
2018  32  9   -16  67.0
2018  32 10   -15  67.0
2018  32 11   -11  67.0
2018  32 12    -6  67.0
2018  32 13    -5  67.0
2018  32 14    -4  67.0
2018  32 15    -1  67.0
2018  32 16    -1  67.0
2018  32 17    -4  67.0
2018  32 18    -4  67.0
2018  32 19    -5  67.0
2018  32 20    -6  67.0
2018  32 21   -11  67.0
2018  32 22   -12  67.0
2018  32 23   -10  67.0
2018  33  0   -10  66.8
2018  33  1   -11  66.8
2018  33  2   -12  66.8
2018  33  3   -12  66.8
2018  33  4   -12  66.8
2018  33  5   -10  66.8
2018  33  6    -9  66.8
2018  33  7   -12  66.8
2018  33  8   -16  66.8
2018  33  9   -16  66.8
2018  33 10   -15  66.8
2018  33 11   -13  66.8
2018  33 12    -9  66.8
2018  33 13    -7  66.8
2018  33 14    -7  66.8
2018  33 15    -7  66.8
2018  33 16    -6  66.8
2018  33 17    -8  66.8
2018  33 18    -5  66.8
2018  33 19     0  66.8
2018  33 20     3  66.8
2018  33 21     6  66.8
2018  33 22     8  66.8
2018  33 23     8  66.8
2018  34  0     7  67.3
2018  34  1     4  67.3
2018  34  2     2  67.3
2018  34  3     4  67.3
2018  34  4     4  67.3
2018  34  5     5  67.3
2018  34  6     5  67.3
2018  34  7     1  67.3
2018  34  8    -5  67.3
2018  34  9    -8  67.3
2018  34 10    -7  67.3
2018  34 11    -6  67.3
2018  34 12    -4  67.3
2018  34 13    -2  67.3
2018  34 14    -2  67.3
2018  34 15     0  67.3
2018  34 16     0  67.3
2018  34 17     2  67.3
2018  34 18     4  67.3
2018  34 19     4  67.3
2018  34 20     6  67.3
2018  34 21     8  67.3
2018  34 22     7  67.3
2018  34 23     4  67.3
2018  35  0     3  71.0
2018  35  1     4  71.0
2018  35  2     3  71.0
2018  35  3     3  71.0
2018  35  4     5  71.0
2018  35  5     9  71.0
2018  35  6     9  71.0
2018  35  7     7  71.0
2018  35  8     1  71.0
2018  35  9    -1  71.0
2018  35 10    -1  71.0
2018  35 11     2  71.0
2018  35 12     5  71.0
2018  35 13     6  71.0
2018  35 14     8  71.0
2018  35 15    11  71.0
2018  35 16    16  71.0
2018  35 17    15  71.0
2018  35 18     9  71.0
2018  35 19     7  71.0
2018  35 20     6  71.0
2018  35 21     8  71.0
2018  35 22     9  71.0
2018  35 23     6  71.0
2018  36  0     5  72.0
2018  36  1     0  72.0
2018  36  2    -9  72.0
2018  36  3    -8  72.0
2018  36  4    -2  72.0
2018  36  5     2  72.0
2018  36  6     2  72.0
2018  36  7    -1  72.0
2018  36  8    -5  72.0
2018  36  9    -9  72.0
2018  36 10    -9  72.0
2018  36 11    -5  72.0
2018  36 12    -6  72.0
2018  36 13    -3  72.0
2018  36 14   -11  72.0
2018  36 15   -13  72.0
2018  36 16   -14  72.0
